epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,552.074,1.4933,0.65256,0.83044,0.98856,0.9875,0.99181,0.70632,1.12871,0.59213,0.84583,0.0003764,0.0003764,0.0003764
84,557.984,1.18975,0.5641,0.81815,0.9886,0.99109,0.9919,0.71152,1.08548,0.58762,0.84344,0.0003566,0.0003566,0.0003566
85,563.633,1.1817,0.56722,0.82514,0.9886,0.99109,0.9919,0.71152,1.08548,0.58762,0.84344,0.0003368,0.0003368,0.0003368
86,568.954,1.35214,0.60175,0.82944,0.9875,0.99143,0.99193,0.72772,1.03717,0.57991,0.84164,0.000317,0.000317,0.000317
87,574.716,1.19069,0.5675,0.82429,0.9875,0.99143,0.99193,0.72772,1.03717,0.57991,0.84164,0.0002972,0.0002972,0.0002972
88,580.1,1.07738,0.56764,0.82149,0.98626,0.99143,0.99187,0.73131,1.03161,0.57891,0.84212,0.0002774,0.0002774,0.0002774
89,585.878,1.52668,0.63445,0.83104,0.98626,0.99143,0.99187,0.73131,1.03161,0.57891,0.84212,0.0002576,0.0002576,0.0002576
90,591.643,1.17666,0.56429,0.82479,0.98393,0.99143,0.99181,0.72488,1.04536,0.57929,0.84344,0.0002378,0.0002378,0.0002378
91,595.955,1.13082,0.69954,0.82061,0.98393,0.99143,0.99181,0.72488,1.04536,0.57929,0.84344,0.000218,0.000218,0.000218
92,600.309,1.04169,0.58112,0.82643,0.98667,0.99143,0.99192,0.7268,1.03806,0.57162,0.84338,0.0001982,0.0001982,0.0001982
93,605.142,1.06229,0.59104,0.81774,0.98667,0.99143,0.99192,0.7268,1.03806,0.57162,0.84338,0.0001784,0.0001784,0.0001784
94,609.982,1.05468,0.58108,0.82786,0.98845,0.99143,0.992,0.73259,1.01705,0.56444,0.8421,0.0001586,0.0001586,0.0001586
95,614.807,1.06967,0.58536,0.82781,0.98845,0.99143,0.992,0.73259,1.01705,0.56444,0.8421,0.0001388,0.0001388,0.0001388
96,619.643,1.11613,0.63566,0.82234,0.98687,0.98571,0.99198,0.7315,1.01289,0.56068,0.8412,0.000119,0.000119,0.000119
97,624.426,1.02964,0.57211,0.8211,0.98687,0.98571,0.99198,0.7315,1.01289,0.56068,0.8412,9.92e-05,9.92e-05,9.92e-05
98,629.218,0.98851,0.56613,0.82809,0.98572,0.98603,0.99191,0.73109,1.01036,0.55902,0.84128,7.94e-05,7.94e-05,7.94e-05
99,633.934,1.04007,0.56427,0.82059,0.98572,0.98603,0.99191,0.73109,1.01036,0.55902,0.84128,5.96e-05,5.96e-05,5.96e-05
100,638.689,1.09145,0.61052,0.81552,0.98572,0.98631,0.99198,0.73257,1.00889,0.55663,0.84105,3.98e-05,3.98e-05,3.98e-05
